gene name	annotation
RP11-331K15.1	gene
RN7SL385P	gene
RPL35AP33	gene
LINC01487	gene
RPL36A	gene
RPL21P47	gene
RP4-630C24.3	gene
SNRPCP11	gene
RN7SL466P	gene
PMS2P11	gene
IGKV3-11	gene
RP11-392P7.1	gene
PPP1R2P4	gene
RP11-1042B17.2	gene
OR5G3	gene
RP11-758P17.2	gene
RP11-758I14.3	gene
SYNPR-AS1	gene
PDXP	gene
SLC25A24P1	gene
RPL36AP43	gene
RPL7AP23	gene
LINC01192	gene
RPP21	gene
RP11-152C17.1	gene
RP11-25D10.1	gene
HNF1A-AS1	gene
RN7SL234P	gene
RN7SL205P	gene
RN7SL344P	gene
LINC00903	gene
CD302	gene
RP11-764I5.1	gene
EGFL8	gene
RN7SL515P	gene
AC064852.4	gene
RP11-192C21.1	gene
RN7SL441P	gene
KRT8P13	gene
MCRIP2P1	gene
RN7SL505P	gene
RPL21P103	gene
EEF1A1P25	gene
RPL37P6	gene
CTD-2224J9.4	gene
TDGF1P6	gene
RP11-666A20.3	gene
RP11-545G3.1	gene
RPS27P22	gene
RP4-555L14.4	gene
PLSCR5-AS1	gene
RPL7P19	gene
RN7SL182P	gene
RP11-579O24.1	gene
RPL39P38	gene
ATP5J2	gene
LINC00635	gene
PTPRG-AS1	gene
RP11-259P15.3	gene
RP4-781K5.5	gene
SSX2	gene
HSPA8P9	gene
RP11-641D5.2	gene
ARHGAP8	gene
RN7SL586P	gene
AF011889.5	gene
RP11-553L6.2	gene
RP11-274B21.5	gene
RP11-796G6.1	gene
RP11-85G20.2	gene
RP11-161I10.1	gene
PSMC1P1	gene
RPS15AP24	gene
AC098820.4	gene
RN7SL632P	gene
AC108004.3	gene
RP11-144C9.1	gene
CA15P1	gene
RN7SL767P	gene
AGGF1P3	gene
CBX5P1	gene
RP11-624D20.1	gene
RP11-740N7.4	gene
RN7SL369P	gene
RP11-6F2.5	gene
RP11-767L7.2	gene
ACTG1P20	gene
GUSBP2	gene
RN7SL41P	gene
RN7SL58P	gene
ARPC4	gene
RP11-490G8.1	gene
ZBTB20-AS1	gene
RPL7P5	gene
CORT	gene
IGKV2D-24	gene
RN7SL338P	gene
PAQR9-AS1	gene
ATP5A1P7	gene
PRICKLE2-AS1	gene
RP11-286H14.1	gene
RP11-523O18.7	gene
RPL23AP8	gene
RN7SL482P	gene
RN7SL484P	gene
RPL17P37	gene
RP11-372E1.7	gene
RP11-520D19.2	gene
KRTAP9-4	gene
RP11-326J18.1	gene
CTD-2007H13.1	gene
KRTAP5-4	gene
RP11-34P13.9	gene
RN7SL340P	gene
RP11-357K9.2	gene
RP13-585F24.1	gene
RN7SL618P	gene
GOLGA2P6	gene
RARRES2P1	gene
RN7SL18P	gene
UBQLN4P1	gene
RN7SL316P	gene
RP11-381E24.1	gene
UGT1A1	gene
LINC01323	gene
RP11-59H7.1	gene
RPS23P6	gene
INMT	gene
CADM2-AS2	gene
RP11-214O14.1	gene
RN7SL253P	gene
RPL19P18	gene
UBA52P7	gene
TRBV11-2	gene
PPP1R2P6	gene
RN7SL418P	gene
RP3-455J7.4	gene
RP11-444P10.1	gene
RPL19P11	gene
LINC01327	gene
RPL23AP21	gene
RP11-529G21.3	gene
RPS27P12	gene
RP11-732A19.1	gene
RP11-80H8.4	gene
RPL31P49	gene
ADAMTS9-AS2	gene
ARPC1A	gene
RP5-860F19.8	gene
RN7SL704P	gene
GM2AP1	gene
RP11-420J11.2	gene
TMEFF1	gene
RN7SL265P	gene
VWFP1	gene
RP4-735C1.4	gene
SUMO1P1	gene
RP11-255I10.1	gene
RP11-113A11.1	gene
AP001062.8	gene
FABP5P3	gene
FAM90A23P	gene
ZNF90P1	gene
CTD-2290C23.2	gene
RPL7AP30	gene
XACT	gene
RP11-399D15.1	gene
RN7SL788P	gene
RP11-941H19.1	gene
RPSAP52	gene
RP11-280H21.1	gene
IGKV1-9	gene
RN7SL83P	gene
RN7SL714P	gene
AC002467.7	gene
RPS26P45	gene
LINC01324	gene
LINC00893	gene
RP11-555M1.3	gene
AC092620.2	gene
none	gene
RP11-651J20.1	gene
RP11-148O7.2	gene
none	gene
none	gene
RP11-91P24.1	gene
RN7SL390P	gene
MTND4P16	gene
COX6B1P2	gene
RN7SL504P	gene
ENO1P4	gene
RN7SL817P	gene
RP11-501O2.1	gene
SPRR2A	gene
RP11-719N22.1	gene
RN7SL319P	gene
RPS15AP34	gene
CTD-2207L17.1	gene
HMGN2P13	gene
RP11-124D9.1	gene
RP11-1000B6.2	gene
RN7SL170P	gene
RPL7P42	gene
RP11-277J24.1	gene
RPL21P54	gene
CECR3	gene
RN7SL149P	gene
ATP5O	gene
LA16c-3G11.7	gene
PLEKHO2	gene
RP11-318G8.1	gene
C8orf58	gene
RP11-147K6.1	gene
ANOS2P	gene
RP11-34P13.13	gene
GAPDHP50	gene
RN7SL401P	gene
RN7SL434P	gene
RN7SL363P	gene
CTB-14A14.1	gene
TOMM22P6	gene
RP11-84H6.1	gene
PISD	gene
KLF3P2	gene
U66059.58	gene
RP11-637O11.2	gene
RP11-85I21.1	gene
RP11-242C19.2	gene
RPSAP37	gene
RP11-435F17.3	gene
RPL13P4	gene
RP11-226P1.1	gene
TPT1P3	gene
NDUFS6P1	gene
RPS20P4	gene
TRBVB	gene
RP11-292E2.2	gene
RPS29P21	gene
RP11-512N21.1	gene
AC000370.2	gene
RPL14P3	gene
MTCO1P55	gene
RP11-278L15.3	gene
RP11-14K2.1	gene
RP11-755B10.3	gene
HOGA1	gene
RN7SL517P	gene
RPL32P26	gene
RPS20P20	gene
RN7SL188P	gene
PWP2	gene
RP11-496B10.1	gene
HNRNPA1P24	gene
RPL29P23	gene
RP1-149A16.17	gene
CTC-340A15.2	gene
RN7SL76P	gene
RP11-7F18.1	gene
RP11-111H13.1	gene
RN7SL655P	gene
RN7SL135P	gene
RPS2P25	gene
PI4KA	gene
TCEB1P19	gene
AKAP2	gene
AF224669.3	gene
RN7SL566P	gene
RPL7AP2	gene
WWTR1-IT1	gene
PRR34-AS1	gene
RP11-95I19.2	gene
RN7SL831P	gene
RPL38P1	gene
RN7SL323P	gene
GS1-388B5.1	gene
RP11-359D24.1	gene
RP11-338L18.1	gene
RN7SL26P	gene
ALG1L15P	gene
KIR3DL3	gene
RN7SL68P	gene
RP11-268G12.3	gene
HYPK	gene
RP11-457K10.1	gene
RP11-1396O13.1	gene
RP11-603B13.1	gene
RP11-70F11.2	gene
RP11-690C23.2	gene
RP13-452N2.1	gene
DNAJB8-AS1	gene
RPL10P7	gene
RPS4XP19	gene
RPS3AP49	gene
CTD-2555K7.1	gene
MARK2P6	gene
RN7SL291P	gene
RN7SL214P	gene
RPL9P28	gene
RP11-259P15.4	gene
NPM1P17	gene
RPL7AP6	gene
RP11-458K10.1	gene
AC006014.7	gene
IGKV1-33	gene
RP11-738B7.1	gene
RN7SL318P	gene
CTC-550M4.1	gene
RP1-90G24.10	gene
RPL7AP31	gene
RPS20P33	gene
LINC00969	gene
RPL36AP41	gene
AC090602.2	gene
FOXP1-IT1	gene
RP11-64D22.1	gene
RPL9P32	gene
RN7SL416P	gene
RN7SL152P	gene
RP11-10G15.4	gene
RP11-340E6.1	gene
LINC01100	gene
NPM1P23	gene
AMACR	gene
TOPORSLP1	gene
RN7SL124P	gene
MTFP1	gene
RN7SL201P	gene
RP11-312P21.2	gene
RP11-231I13.2	gene
RN7SL267P	gene
RP11-51L5.1	gene
SNHG3	gene
RPL5P13	gene
RPL17P2	gene
RP11-734K21.2	gene
RPL11P5	gene
RP11-262M14.2	gene
SERBP1P3	gene
RP11-520D19.1	gene
RP13-463N16.6	gene
RP11-134G8.6	gene
DYNLL1P5	gene
RP11-639F1.3	gene
OFD1P6Y	gene
RP4-778K6.3	gene
AC000041.8	gene
RN7SL361P	gene
ABCF2P1	gene
RP11-128A6.3	gene
RP11-299L17.1	gene
RN7SL222P	gene
RP11-219G10.1	gene
RN7SL329P	gene
ARHGDIG	gene
RN7SL127P	gene
RPL39P31	gene
MTND4P17	gene
OR51B5	gene
RN7SL745P	gene
AC002523.1	gene
RP11-142L1.1	gene
RP11-568K15.1	gene
SRRM1P2	gene
RP11-588L15.1	gene
CTD-2235C13.1	gene
RP11-71H17.1	gene
RN7SL215P	gene
RPS26P35	gene
HOXB-AS4	gene
RPL5P29	gene
AC006445.6	gene
MTND3P6	gene
RN7SL97P	gene
TCP10L	gene
PSG2	gene
RP11-237P21.1	gene
RPS3AP14	gene
RN7SL594P	gene
RN7SL306P	gene
PVRL3-AS1	gene
ATP5G1P3	gene
RP11-331O9.2	gene
ARFGAP3	gene
RPL7AP57	gene
RN7SL20P	gene
BGLAP	gene
RPL39P34	gene
RN7SL57P	gene
LINC00996	gene
C22orf39	gene
RP11-62J1.3	gene
RP11-100N21.1	gene
PEG10	gene
RN7SL456P	gene
SKINT1L	gene
RP11-368I23.2	gene
AK2P2	gene
RPL5P3	gene
RP11-382N13.1	gene
RP11-659G9.1	gene
SLC16A1P1	gene
RN7SL159P	gene
AC108488.4	gene
RPL6P8	gene
RP11-464F9.1	gene
RP11-197K3.1	gene
RPL36AP51	gene
CTD-2282P23.1	gene
RPS29P1	gene
STAG3L5P	gene
RP11-522B15.1	gene
DEFB109P1	gene
RP11-234A1.1	gene
RPS26P52	gene
RP11-572C15.3	gene
RPL12P32	gene
RN7SL685P	gene
RP11-875H7.5	gene
RP11-810D13.1	gene
RPL21P126	gene
RPL23AP40	gene
RP4-576H24.2	gene
RPS12P31	gene
RP11-12N13.2	gene
CTD-2184D3.1	gene
RP11-59H1.1	gene
RN7SL683P	gene
TFP1	gene
BMS1P4	gene
RP11-735B13.2	gene
RN7SL646P	gene
RN7SL561P	gene
NPPA-AS1	gene
FAM91A3P	gene
RPL12P30	gene
RPS21P4	gene
RN7SL272P	gene
CT47A2	gene
RP11-451J24.1	gene
NDUFA5P5	gene
UGT1A8	gene
KCNAB1-AS1	gene
IGKV1-39	gene
EIF6	gene
RP11-498P14.3	gene
RN7SL741P	gene
LINC00901	gene
HIST1H2APS2	gene
RBMY1E	gene
RPL6P9	gene
RP4-631H13.2	gene
AC010141.4	gene
RP11-67L3.5	gene
RN7SL800P	gene
RPS20P23	gene
RP11-267J23.1	gene
CTD-2377D24.4	gene
CTD-2086L14.1	gene
DBIL5P2	gene
RP11-286B5.1	gene
PCDHGC4	gene
RPL12P36	gene
C3orf67-AS1	gene
RN7SL274P	gene
RP11-731J8.1	gene
UPK3BP1	gene
RN7SL789P	gene
CTD-2349P21.1	gene
RP11-501O2.5	gene
GTF2A1L	gene
RP11-320N7.1	gene
RPL7AP11	gene
MTCO3P38	gene
RBBP4P2	gene
RPS15AP32	gene
none	gene
IGHJ5	gene
KIR2DP1	gene
AC093627.9	gene
CTD-2161E19.1	gene
RP11-383G6.4	gene
RN7SL392P	gene
RN7SL293P	gene
MRPL20	gene
none	gene
RP11-270M14.1	gene
RN7SL37P	gene
ARPIN	gene
RP3-477O4.5	gene
RN7SL156P	gene
NDUFB4P1	gene
LINC01206	gene
UGT1A10	gene
LINC00960	gene
MAGEA5	gene
KLHL6-AS1	gene
OR2U2P	gene
OR7E100P	gene
RP11-159H22.1	gene
AHCYP8	gene
RP11-299J3.6	gene
IGKV2D-28	gene
RP11-290K4.2	gene
MRE11P1	gene
AC007620.3	gene
AC010729.1	gene
RP11-719N22.2	gene
RN7SL169P	gene
SERPINB10	gene
POU5F1P6	gene
MRPL42P4	gene
AP001432.14	gene
RN7SL144P	gene
RN7SL797P	gene
ATP5LP5	gene
DCAF13P1	gene
RN7SL372P	gene
RP11-875H7.1	gene
RPL21P11	gene
ACTR3P3	gene
HLA-DMB	gene
AC012501.3	gene
RP11-469J4.3	gene
IGKV1D-43	gene
RP11-379K17.9	gene
RP11-481N16.1	gene
RP11-274B21.14	gene
RP11-54O7.14	gene
RP5-921G16.1	gene
RP11-648L3.1	gene
MED28P8	gene
CSAG4	gene
MBL1P	gene
CTD-2339M3.1	gene
RPS3AP34	gene
RPS23P5	gene
RP11-398A8.1	gene
OR5BH1P	gene
AC093627.8	gene
DECR2	gene
RP11-174O3.4	gene
RN7SL164P	gene
CTC-359D24.3	gene
GNG10	gene
RP11-433A10.2	gene
RP11-18H7.1	gene
AC009228.1	gene
RPS24P16	gene
RPS14P7	gene
RPL21P129	gene
RN7SL294P	gene
RPS29P11	gene
LINC00971	gene
RN7SL292P	gene
RN7SL862P	gene
RN7SL132P	gene
RPL32P14	gene
RN7SL581P	gene
RP11-271C24.2	gene
RP11-1094M14.1	gene
RPS3AP43	gene
RP11-745A24.2	gene
RN7SL317P	gene
RP11-601I15.1	gene
RP11-232M24.1	gene
RN7SL167P	gene
RPS16P9	gene
RPL12P21	gene
RP11-1191J2.2	gene
AC004893.11	gene
RN7SL304P	gene
CNTF	gene
RPS27AP1	gene
RN7SL40P	gene
RPL5P12	gene
RN7SL516P	gene
CCT4P1	gene
ICE2P2	gene
RPS27AP9	gene
RN7SL362P	gene
RPL30P9	gene
CCDC169	gene
RN7SL806P	gene
RP11-123J14.1	gene
UQCRHP4	gene
RP11-124G5.1	gene
FAM86LP	gene
RGAG4	gene
RPSAP26	gene
TRBV1	gene
RP11-562A8.1	gene
RP11-20B7.1	gene
RP11-30K9.1	gene
RPL23AP81	gene
NMTRQ-TTG12-1	gene
RP11-716O23.2	gene
RHOT1P3	gene
CTD-2090I13.3	gene
LINC00882	gene
RN7SL824P	gene
IGKV1D-17	gene
ZBTB20-AS4	gene
RP11-556G22.1	gene
RN7SL432P	gene
RP11-180K7.1	gene
TRBV5-2	gene
RP11-875H7.2	gene
ZNF702P	gene
RP11-47P18.2	gene
RP11-451G4.3	gene
RP11-651P23.5	gene
AC135999.2	gene
RN7SL299P	gene
RP11-3K16.2	gene
GLYCTK-AS1	gene
RP11-506M12.1	gene
AP5Z1	gene
RPL26P31	gene
SOX2-OT	gene
MRPL42P6	gene
RN7SL229P	gene
RP11-436H11.1	gene
RP11-768G7.3	gene
RN7SL846P	gene
RP11-47P18.1	gene
RPS26P21	gene
RPL7AP56	gene
MTCO3P35	gene
RPL21P13	gene
KRT8P35	gene
ALDOAP1	gene
RPL23AP68	gene
ZNF709	gene
RN7SL749P	gene
DNM1P24	gene
RN7SL496P	gene
VN1R105P	gene
CTC-484M2.1	gene
RN7SL180P	gene
RP11-285F7.2	gene
RN7SL677P	gene
RN7SL244P	gene
STRC	gene
RBMY1B	gene
RN7SL812P	gene
AC006335.11	gene
RP11-190P13.2	gene
RPL5P11	gene
IGHJ3	gene
RP11-436M15.1	gene
RN7SL449P	gene
RN7SL413P	gene
RN7SL634P	gene
RPL7P16	gene
RP11-309L24.2	gene
AADACL2-AS1	gene
RP11-118N24.2	gene
RN7SL384P	gene
SNRPGP7	gene
RPL21P104	gene
none	gene
PLCH1-AS2	gene
RN7SL868P	gene
RPL7P49	gene
RPL30P6	gene
RPL12P7	gene
NKAIN1P1	gene
RPL29P32	gene
EPS15P1	gene
ERVW-1	gene
RP11-507E23.1	gene
RPSAP3	gene
RP11-803B1.3	gene
RP11-662B19.1	gene
FTH1P23	gene
RP11-143E21.1	gene
RP11-731C17.1	gene
AC068522.4	gene
RN7SL233P	gene
RP11-446F17.3	gene
RN7SL177P	gene
RP4-545C24.5	gene
RPS15AP18	gene
CABYRP1	gene
RN7SL50P	gene
RP11-1110J8.1	gene
RN7SL332P	gene
RPL13AP23	gene
RPL7P40	gene
FTH1P4	gene
RP11-697H10.1	gene
RP11-1085N6.1	gene
RN7SL379P	gene
RN7SL239P	gene
AC005062.2	gene
RN7SL16P	gene
RPL12P35	gene
RP11-556N21.1	gene
RN7SL266P	gene
RP11-292E2.4	gene
PTMAP8	gene
RN7SL737P	gene
RP11-305F5.2	gene
RP5-1070G24.2	gene
RPL7P39	gene
MARK3P3	gene
UBA52P3	gene
RPS11P6	gene
MTAPP1	gene
RN7SL354P	gene
RN7SL635P	gene
GAPDHP47	gene
RN7SL810P	gene
RP11-58E21.1	gene
RBMY2FP	gene
RP13-526J3.1	gene
FTH1P18	gene
RN7SL33P	gene
RPL30P10	gene
RN7SL269P	gene
RPL31P58	gene
GK-AS1	gene
EIF4EBP3	gene
RPL39P33	gene
RN7SL400P	gene
RP11-12M5.1	gene
IGKV3-7	gene
ABCC13	gene
RN7SL842P	gene
ARHGEF26-AS1	gene
RP11-613M5.2	gene
GS1-388B5.2	gene
PRAMEF4	gene
RN7SL519P	gene
RP11-231E6.1	gene
LINC00870	gene
RP11-392E22.3	gene
RP11-779P15.2	gene
RP11-1084A12.1	gene
RPL3P10	gene
AC020983.5	gene
RPS3P7	gene
RN7SL452P	gene
MTND4LP14	gene
AC000120.7	gene
none	gene
RN7SL849P	gene
RP11-564C24.1	gene
RP11-25H11.1	gene
RN7SL643P	gene
RN7SL807P	gene
RP11-377D9.1	gene
PSG11	gene
UGT1A3	gene
RN7SL22P	gene
PSG4	gene
RPL23AP66	gene
RP11-115N4.1	gene
MRPL33	gene
RP11-543A18.1	gene
RP11-538P18.2	gene
CTD-2501O3.2	gene
RP11-46A10.5	gene
MICAL3	gene
RP11-342F17.2	gene
RP11-166B14.1	gene
RP11-79M21.3	gene
RPS10P28	gene
RP11-273P3.1	gene
RN7SL861P	gene
RPSAP36	gene
RP11-550I24.2	gene
AC110769.3	gene
RP11-734J24.1	gene
CCDC39-AS1	gene
HNRNPA1P17	gene
CTA-360L10.1	gene
TUBBP11	gene
TUSC7	gene
RP11-408P14.1	gene
PPAN-P2RY11	gene
AC006159.4	gene
RP5-1157M23.2	gene
RP11-7F17.1	gene
RN7SL55P	gene
RP11-286H14.8	gene
PCDHAC2	gene
CTD-2583A14.1	gene
GSTA9P	gene
IGKV2-30	gene
AC073130.3	gene
STON1	gene
RPS6P16	gene
PGBD3	gene
RN7SL350P	gene
RPL30P14	gene
MTCO2P29	gene
RN7SL558P	gene
IGKV2D-29	gene
RPL23AP55	gene
RN7SL614P	gene
RP11-166N6.2	gene
RN7SL571P	gene
RP11-384F7.1	gene
PRAF2	gene
RP11-477G18.2	gene
VSIG8	gene
RPS17P14	gene
AGAP13P	gene
IGKV1-12	gene
CTD-2185K10.1	gene
RP11-779P15.1	gene
RPL31P61	gene
LINC00359	gene
RP11-274B21.2	gene
RP11-268I9.1	gene
CTC-428G20.1	gene
RP11-362A9.3	gene
POM121L6P	gene
RP11-397E7.1	gene
RN7SL285P	gene
RP11-538P18.1	gene
GUCY2GP	gene
C7orf73	gene
FGF14-IT1	gene
RP11-167H9.3	gene
PTPRVP	gene
RP11-520P18.1	gene
RN7SL174P	gene
KCTD7	gene
RN7SL307P	gene
RN7SL738P	gene
RP11-458K10.3	gene
RN7SL601P	gene
RP11-501O2.4	gene
RP11-445N18.7	gene
none	gene
RN7SL8P	gene
RPS29P19	gene
RP11-57G22.1	gene
RN7SL815P	gene
EFNA4	gene
RN7SL278P	gene
RN7SL60P	gene
MCCC1-AS1	gene
RN7SL775P	gene
RN7SL173P	gene
RN7SL72P	gene
RP11-646E18.3	gene
RN7SL89P	gene
RP11-475O23.2	gene
CTD-2110K23.1	gene
RPL3P3	gene
AC012442.5	gene
RP11-454H13.1	gene
RN7SL141P	gene
RP11-473O4.1	gene
RP11-330L19.1	gene
RPL35AP32	gene
MRPS31P5	gene
RP11-245J9.4	gene
TICAM2	gene
RP11-274H2.2	gene
RP11-555K12.1	gene
RN7SL734P	gene
RPL23AP49	gene
RP5-837J1.1	gene
RN7SL107P	gene
RN7SL454P	gene
OR7E29P	gene
RPL5P30	gene
RP11-148K1.10	gene
RN7SL370P	gene
LARP1BP2	gene
RN7SL352P	gene
AF165138.7	gene
PALM2	gene
RP11-715J22.1	gene
RN7SL284P	gene
C4orf48	gene
COX7BP1	gene
RPS18P13	gene
IGKV1-5	gene
INGX	gene
RPL7P51	gene
NAT6	gene
AOX2P	gene
MNX1-AS1	gene
AMY2A	gene
RP11-572M11.2	gene
MIR1302-2	gene
RP11-217E22.5	gene
RN7SL337P	gene
KRTAP10-11	gene
RP11-521D12.5	gene
CTC-550B14.1	gene
GMFBP1	gene
UBA52P5	gene
RPS6P21	gene
none	gene
RP11-257K9.8	gene
AC090453.1	gene
RPS23P1	gene
RN7SL240P	gene
RP11-476M19.1	gene
RP11-775J23.2	gene
TNFRSF6B	gene
RN7SL111P	gene
RPL32P33	gene
RPL12P40	gene
RP11-627K11.1	gene
RP11-639F1.2	gene
IGLVIVOR22-2	gene
RPL5P33	gene
RP11-740N7.3	gene
RN7SL19P	gene
CTC-458A3.1	gene
RPS26P28	gene
RN7SL649P	gene
RN7SL104P	gene
WFDC6	gene
RN7SL172P	gene
RN7SL108P	gene
HNRNPKP4	gene
RN7SL101P	gene
RN7SL705P	gene
LINC01214	gene
AC004967.7	gene
RN7SL364P	gene
RN7SL838P	gene
UPK3B	gene
RP11-2I17.1	gene
RP11-889D3.2	gene
RP11-264K23.1	gene
RPS29P25	gene
RP4-669B10.3	gene
RP11-14I2.2	gene
none	gene
RN7SL282P	gene
RPL17P22	gene
RP11-500K19.1	gene
RP11-758I14.2	gene
RPL12P24	gene
RPL35AP26	gene
RPS2P44	gene
RP11-216N14.8	gene
RP11-649A16.1	gene
AC003989.3	gene
AP000322.53	gene
LINC00880	gene
RN7SL542P	gene
RP11-281P11.1	gene
RP11-164O23.7	gene
OR13C7	gene
RN7SL526P	gene
TSPY20P	gene
IL10RB	gene
RP11-215P8.1	gene
CFB	gene
RN7SL834P	gene
RP11-846F4.12	gene
MTND5P16	gene
RP11-4K3__A.3	gene
ZNF487	gene
WBP1LP1	gene
RPS4XP14	gene
RPS29P12	gene
WDR92	gene
RPL34P23	gene
RN7SL761P	gene
RPS3AP40	gene
OR7E66P	gene
RP11-379F4.1	gene
NME2	gene
RP11-274B21.3	gene
RPL37P23	gene
RPLP1P11	gene
RP11-432B6.1	gene
RP11-6B4.1	gene
RP11-290L7.3	gene
RP5-966M1.6	gene
RP11-463O9.1	gene
RN7SL598P	gene
DUBR	gene
RN7SL638P	gene
RN7SL105P	gene
RP11-178L8.1	gene
PLA2G4B	gene
LEFTY1	gene
CFAP57	gene
RPL21P116	gene
CACNA2D3-AS1	gene
NPIPB5	gene
RPL21P127	gene
RPL23AP63	gene
RN7SL393P	gene
TTC4	gene
OR5V1	gene
RPL29P3	gene
RP11-80H8.3	gene
RN7SL181P	gene
RPLP0P2	gene
CTC-232H10.1	gene
EEF1A1P10	gene
TMEM35B	gene
HLA-L	gene
RPL35AP15	gene
ST13P15	gene
RP11-216N21.2	gene
AC006547.8	gene
HOTTIP	gene
RN7SL65P	gene
CTD-3131K8.1	gene
KIR2DL3	gene
OSTCP1	gene
RP11-864G5.1	gene
RP11-681N23.1	gene
RP11-112N19.1	gene
RP11-193H5.2	gene
RN7SL78P	gene
JMJD7	gene
OR7E89P	gene
SNRPCP10	gene
RP11-572M11.3	gene
CTB-111H14.1	gene
PEX5L-AS1	gene
RN7SL461P	gene
RP11-390K5.1	gene
RPL7P18	gene
RP5-1096J16.1	gene
APOBEC3D	gene
RP11-678L1.1	gene
RN7SL189P	gene
RP11-372E1.4	gene
RN7SL832P	gene
RP11-2G17.1	gene
RPL12P6	gene
RP11-307F22.2	gene
CTB-33G10.1	gene
RP11-113C12.2	gene
RP1-81D8.4	gene
RP11-202A13.1	gene
WDR86-AS1	gene
PSMC1P7	gene
RPL17P33	gene
RN7SL30P	gene
RN7SL610P	gene
CFAP44-AS1	gene
ALDH7A1P3	gene
RN7SL67P	gene
RPL12P5	gene
RN7SL551P	gene
RPL5P17	gene
RP11-656A15.1	gene
RPS3AP50	gene
RN7SL236P	gene
RN7SL487P	gene
RN7SL464P	gene
HMGB1P36	gene
HMGB1P38	gene
RN7SL419P	gene
RP11-278L15.2	gene
RP11-575C1.1	gene
RP11-548B3.3	gene
TRBV8-1	gene
RP11-489M13.1	gene
OR2A7	gene
RN7SL320P	gene
ELFN2	gene
RP11-285B24.1	gene
RPSAP5	gene
RN7SL679P	gene
TUBA4B	gene
RN7SL430P	gene
RPL5P14	gene
THAP12P2	gene
RP11-6K23.1	gene
EIF4BP8	gene
RPS26P24	gene
RPS24P18	gene
TIPARP-AS1	gene
MRPS6	gene
RP11-61F5.1	gene
RPS12P21	gene
RP11-200A13.1	gene
ZNF512	gene
RP11-167H9.4	gene
RP11-696F10.1	gene
RN7SL308P	gene
RP11-439C8.2	gene
RN7SL743P	gene
GSTA1	gene
RN7SL647P	gene
RN7SL684P	gene
RP11-552M11.4	gene
RP5-839B4.8	gene
RPL23AP65	gene
NBPF5P	gene
RN7SL402P	gene
RP11-439C8.1	gene
PPIEL	gene
VTI1BP1	gene
RN7SL523P	gene
RP11-473P24.2	gene
RGAG1	gene
RP11-347C18.1	gene
RN7SL702P	gene
RP11-368M16.3	gene
ENO1P3	gene
RPS24P17	gene
ACY1	gene
RN7SL447P	gene
RP11-14D22.2	gene
RP1-300I2.2	gene
AC006366.3	gene
RPSAP39	gene
RN7SL143P	gene
RP11-1396O13.2	gene
NFS1	gene
RN7SL799P	gene
B3GAT3P1	gene
RPL35P6	gene
RPS2P24	gene
MT1HL1	gene
RP11-50D9.1	gene
LARP7P4	gene
KRTAP19-3	gene
FAM86DP	gene
RPS3AP17	gene
RN7SL228P	gene
RN7SL424P	gene
RP11-306G20.1	gene
DDOST	gene
RP11-379K17.2	gene
IL12A-AS1	gene
LINC01011	gene
RPS27P27	gene
RN7SL735P	gene
TMEM199	gene
RPS18P6	gene
RP11-266K4.1	gene
RPL5P24	gene
RPL13AP2	gene
AC007566.10	gene
RN7SL417P	gene
LCE3C	gene
RPS2P41	gene
RP11-389C8.1	gene
RP11-404G16.2	gene
AC024704.2	gene
MARK2P17	gene
RN7SL148P	gene
GSTA2	gene
RPL9P33	gene
RPS4XP6	gene
CTC-512J14.1	gene
RN7SL833P	gene
RP11-350D23.4	gene
RP11-170N16.1	gene
RPS20P35	gene
RPL23AP44	gene
HMGB1P30	gene
RN7SL483P	gene
SPRR2F	gene
RPS4XP17	gene
RPS23P3	gene
HMGN1P10	gene
RN7SL659P	gene
RN7SL250P	gene
RN7SL508P	gene
RP11-468H14.1	gene
DNAJC25-GNG10	gene
IGKV2-28	gene
PDCL3P4	gene
UGT1A7	gene
ATP1B3-AS1	gene
AC078882.1	gene
LINC01322	gene
UBE2Q2P9	gene
RPSAP51	gene
RPS12P20	gene
RP11-99J16__A.2	gene
RN7SL397P	gene
ATP6V0CP2	gene
RP11-757F18.3	gene
RP11-366M4.2	gene
RP11-148K1.12	gene
WWP1P1	gene
CYP4F34P	gene
EIF4E2P2	gene
RP1-93H18.6	gene
RPS27AP13	gene
FLNB-AS1	gene
P2RY11	gene
RP4-733B9.1	gene
RN7SL120P	gene
PBX2P1	gene
RP11-810P12.1	gene
RP11-641C17.1	gene
RP11-314A20.2	gene
TMEM141	gene
RP11-114H7.1	gene
RP11-379K17.5	gene
RN7SL218P	gene
PPIAP15	gene
RN7SL766P	gene
RP4-545C24.1	gene
EIF4EP3	gene
FOXP1-AS1	gene
PDZK1P1	gene
ZFAND6P1	gene
none	gene
RP11-88I21.2	gene
RPS4XP10	gene
RN7SL81P	gene
GS1-259H13.2	gene
OR7E121P	gene
ILF2P1	gene
LINC01330	gene
RPL26P35	gene
RN7SL151P	gene
CSPG4P2Y	gene
RN7SL698P	gene
GMCL1P1	gene
RP11-589C21.1	gene
RN7SL604P	gene
RP11-1046B16.1	gene
AC007009.1	gene
IFITM10	gene
RPS3AP42	gene
RP11-120B7.1	gene
ZNF736P8Y	gene
RP11-139K4.2	gene
RP11-441M10.1	gene
RP11-64K12.1	gene
none	gene
RPS29P24	gene
XXbac-BPG116M5.17	gene
RN7SL130P	gene
PKD1P1	gene
AP000797.1	gene
RP11-521D12.2	gene
